geno	Omi32_e_2_1	Omi32_e_2_2	Omi32_e_2_3	Omi32_e_2_4	Omi32_e_3_1	Omi32_e_3_2	Omi32_e_3_3	Omi32_e_3_4	Omi32_e_4_1	Omi32_e_4_2	Omi32_e_4_3	Omi32_e_4_4	Omi32_e_5_1	Omi32_e_5_2	Omi32_e_5_3	Omi32_e_5_4	Omi32_e_6_1	Omi32_e_6_2	Omi32_e_6_3	Omi32_e_6_4	Omi32_e_7_1	Omi32_e_7_2	Omi32_e_7_3	Omi32_e_7_4	Omi32_e_8_1	Omi32_e_8_2	Omi32_e_8_3	Omi32_e_8_4	Omi32_e_F_1	Omi32_e_F_2	Omi32_e_F_3	Omi32_e_F_4	Omi32_e_F_5	Omi32_e_F_6	Omi32_e_F_7	Omi32_e_F_8	Omi32_f_2_1	Omi32_f_2_2	Omi32_f_2_3	Omi32_f_2_4	Omi32_f_3_1	Omi32_f_3_2	Omi32_f_3_3	Omi32_f_3_4	Omi32_f_4_1	Omi32_f_4_2	Omi32_f_4_3	Omi32_f_4_4	Omi32_f_5_1	Omi32_f_5_2	Omi32_f_5_3	Omi32_f_5_4	Omi32_f_6_1	Omi32_f_6_2	Omi32_f_6_3	Omi32_f_6_4	Omi32_f_7_1	Omi32_f_7_2	Omi32_f_7_3	Omi32_f_7_4	Omi32_f_8_1	Omi32_f_8_2	Omi32_f_8_3	Omi32_f_8_4	Omi32_f_F_1	Omi32_f_F_2	Omi32_f_F_3	Omi32_f_F_4	Omi32_f_F_5	Omi32_f_F_6	Omi32_f_F_7	Omi32_f_F_8
0000000001010	0	0	0	2	0	262	66	0	0	0	0	0	0	435	4	0	263	608	0	0	4	375	0	0	197	34	0	0	0	0	0	0	0	88	8	0	0	0	152	1	0	0	176	4	0	0	0	0	0	1	19	0	366	1	0	0	358	0	0	0	233	0	0	0	0	0	0	1	0	60	261	68
0000000001011	0	2623	1779	77	0	2992	1521	4	37	2315	1405	0	27	961	1347	195	2201	249	275	9	1379	394	2	0	3160	402	18	0	1	0	3	1	282	2017	602	3	0	1884	2976	124	2	3737	1015	5	0	2865	872	330	1414	2578	607	2	2729	118	2	1	5820	3	255	0	4530	72	1	0	2	0	21	219	193	870	3213	81
0000000001100	2	1057	939	25	0	1572	592	79	12	689	383	0	2	839	320	29	1575	18	9	5	896	350	3	0	1753	4	3	0	1	0	176	0	1084	1484	259	1	0	1225	2218	0	0	562	2171	1	0	4111	506	1	1918	686	48	1	1094	0	3	0	4100	365	0	0	2352	2	4	0	2	0	112	99	176	925	2484	0
0000000001101	1	1145	651	383	2	3782	1806	161	12	2380	611	2	8	2763	260	287	2153	589	6	5	1996	1714	333	0	2967	821	1	0	0	2	58	1	308	1396	1173	0	0	950	4047	170	0	990	1047	299	1	4263	970	2	2094	3066	369	3	3444	28	7	0	6274	1	6	0	3418	0	1	0	0	0	193	68	473	1132	2407	0
0000000001110	4	2653	7036	2260	1	4522	3305	1626	44	7757	2855	904	405	8146	2245	399	5489	1892	753	2	5602	3065	1088	0	8808	1140	10	0	1	2	3	104	1963	6934	2078	1	0	1023	10766	298	0	4383	8985	111	1	9880	3723	95	4422	2841	1256	10	10205	592	13	0	8011	572	613	0	12265	378	1	0	0	227	197	347	161	3482	8327	113
0000000001111	443	1587	1616	10	0	1528	1900	425	3	4797	548	126	4	4697	580	460	1835	1337	812	1	2139	607	196	0	4860	1037	2	0	1	0	0	48	653	4414	380	0	0	287	3966	491	0	1098	5284	9	0	2917	2176	3	813	3	478	5	1665	947	2	1	4177	5	8	0	5088	518	0	0	1	1	149	1	62	1175	4796	1
0000000010000	90	5729	2136	708	2	3229	1711	1560	536	6571	1835	1053	1691	6224	2343	1291	2434	2990	956	11	3394	1419	2514	0	5716	1280	18	0	8	2	0	157	905	5268	1430	399	1	6012	3961	175	0	7805	1699	40	0	6218	946	273	4351	2955	926	6	6010	364	9	1	9645	638	1075	0	7453	194	962	0	0	0	279	41	67	2357	5944	20
0000000010001	1	1565	57	131	0	2064	269	1	41	1576	1855	0	20	261	510	39	1013	27	5	11	1540	1037	4	0	3957	257	21	0	1	0	211	1	332	1460	1056	0	0	1202	942	0	0	2026	135	2	0	2767	107	0	1	1	119	0	2471	2	5	0	3009	807	0	0	2898	295	1	0	2	0	38	44	73	728	2134	40
0000000010010	0	1175	759	360	1	1341	834	240	21	1694	54	0	8	640	224	19	628	1231	0	2	1430	1363	138	0	2539	1	3	0	2	132	1	1	903	1865	491	82	0	809	1635	1	0	3498	461	6	0	2066	1034	313	1670	685	74	2	1527	335	3	0	2811	428	2	0	2339	0	0	0	0	0	44	82	149	1051	2011	1
0000000010011	3	4690	1800	1181	2	4730	1240	421	85	3760	1892	4	735	4876	1972	1167	2595	974	172	11	1572	1059	4	0	5783	755	23	0	4	0	0	0	797	3816	1051	158	0	3157	2703	103	0	4018	1355	15	0	3796	788	213	8900	1946	762	1	3341	5	6	1	7771	1402	580	0	5894	226	0	0	0	0	134	109	30	1647	4822	174
0000000010100	3	6690	4325	1640	2	8777	3334	1281	501	10232	4259	1146	500	5835	4195	779	5558	2655	589	13	6734	3077	741	0	7817	816	554	0	7	1	6	134	3141	7683	2670	2	0	3144	8676	712	0	9294	6788	294	0	8587	4066	9	7888	3268	1071	2	10903	426	9	1	13164	2	434	0	10665	147	189	0	0	1	135	145	240	3804	9604	308
0000000010101	0	1028	939	301	0	1382	836	225	21	1179	25	4	698	826	365	9	2025	290	1	0	1589	921	265	0	3476	123	3	0	2	1	0	0	754	1919	383	277	0	1144	3026	194	0	1699	2487	7	0	530	308	1	53	12	193	0	1250	2	5	2	2945	0	14	0	3474	46	170	0	1	0	61	0	1	1021	1954	94
0000000010110	0	2357	1626	380	0	2991	1708	268	7	2177	1493	391	832	3322	549	9	3339	562	126	1	595	533	3	0	6410	327	3	0	1	1	159	58	1757	2073	463	0	0	908	3576	379	0	3114	4159	6	0	4823	687	2	3347	494	1066	0	4282	412	2	1	3154	573	237	0	3679	773	2	0	1	0	96	1	34	1295	3362	42
0000000010111	0	984	1956	128	0	1591	149	30	3	1127	0	313	5	2852	2	4	171	5	5	0	176	612	0	0	934	234	1	0	0	0	1	0	253	1476	634	0	0	0	1884	0	0	317	841	142	0	1131	376	0	1363	1	448	1	895	0	7	0	2587	2	1	0	748	0	287	0	0	0	47	29	0	370	1032	0
0000000011000	1	1548	508	570	1	1707	71	112	17	914	453	2	296	656	693	29	1360	11	3	9	800	496	3	0	1556	1	5	0	0	0	0	62	284	1656	679	1	0	1708	308	0	0	2010	652	2	201	2381	277	1	1533	1218	87	1	1686	200	1	1	2337	336	3	0	1840	173	0	0	0	0	12	1	91	1172	1770	0
0000000011001	0	3639	693	82	0	2565	346	163	251	4948	34	2	21	3390	476	368	2024	198	94	11	2373	642	124	0	3186	244	14	0	4	0	10	482	391	3798	672	0	0	3701	1574	1	0	5258	583	12	0	2941	580	270	2106	522	671	1	4198	322	1	0	5451	543	6	0	5471	5	225	0	0	0	26	138	69	1385	3967	277
0000000011010	1	1774	891	940	0	2906	1161	4	31	1925	1186	3	13	720	1109	1456	2570	40	9	10	1331	1009	440	0	3165	508	12	0	83	98	140	3	735	2798	592	1	0	3264	2826	159	0	4181	1500	149	0	5462	1474	2	1766	313	491	4	3086	814	3	2	3575	374	401	0	3208	244	0	0	1	0	90	1	1	1020	3629	37
0000000011011	1	4698	2741	166	0	2387	1661	482	71	4009	870	292	26	3623	2068	39	2203	947	313	11	1401	579	354	0	4850	1161	14	0	9	0	1	0	464	3017	1239	170	0	1754	2666	144	0	4132	1765	118	1	4340	1196	2	1984	786	131	2	3196	994	9	2	5111	144	13	0	3820	502	0	0	1	214	54	79	56	1570	3691	109
0000000011100	0	147	0	912	0	441	128	1	8	229	202	0	387	878	282	10	650	10	261	0	275	166	0	0	272	254	1	0	2	110	0	114	115	728	205	0	0	384	811	112	0	717	298	0	0	68	251	0	188	0	22	0	4	0	0	0	912	0	694	0	932	1	326	0	0	0	0	0	1	491	903	0
0000000011101	0	940	547	309	3	140	103	0	567	1390	756	2	13	768	13	17	783	542	0	4	1310	0	2	0	1951	2	8	0	3	0	1	60	238	1196	573	0	0	1177	1638	175	0	2030	1966	10	0	1573	329	0	678	0	139	4	755	2	0	0	2871	0	6	0	1723	203	0	0	0	0	10	1	2	545	1408	0
0000000011110	0	2869	3448	470	0	3423	2064	167	466	3566	2044	348	1118	4312	2068	947	4474	438	951	6	2973	1671	5	0	5738	1045	506	0	8	1	1	1	2101	5204	1141	2	0	2888	4323	367	0	4712	3317	6	0	6105	1016	6	2743	1	691	2	4167	2	12	2	6716	907	581	0	7455	193	117	0	1	1	134	2	129	2969	5310	41
0000000011111	0	358	1272	27	1	391	395	1177	4	2444	412	2	515	1076	944	3	1362	618	1	2	1135	140	823	0	4691	266	5	0	0	0	0	1	117	2696	776	0	0	543	2770	293	0	2282	1020	2	0	917	545	295	1255	204	282	4	1940	466	1	0	3264	281	1	0	1875	202	0	0	0	0	89	1	150	961	1789	0
0000000100000	0	1760	479	271	1	821	503	1	8	853	1106	1	1132	2492	252	379	1190	1203	300	3	1875	268	3	0	2591	0	524	0	222	0	0	2	73	875	1165	0	0	2664	1260	67	0	3431	845	5	0	2358	764	2	1204	0	25	1	851	317	1	0	3525	0	7	0	2222	101	0	0	1	0	19	0	92	546	1749	0
0000000100001	3	4213	2458	393	1	3639	1046	7	74	4517	2038	7	828	3283	2392	281	3046	877	35	431	3146	1676	9	0	4496	1770	1247	0	330	1	3	98	1412	3143	1057	270	0	6189	2627	70	0	6593	3344	528	0	5168	1464	2	770	2218	1161	7	5841	286	16	2	8803	1027	6	0	7606	360	164	0	1	0	178	45	26	2661	6098	145
0000000100010	0	1062	579	117	1	115	571	1	25	907	11	524	14	1117	594	23	866	13	0	4	899	3	0	0	1420	105	4	0	3	0	0	0	437	381	412	1	0	2263	457	0	0	1512	455	1	1	1764	101	0	516	617	630	1	1733	2	4	1	909	0	1	0	1826	1	0	0	0	0	72	0	1	1105	783	0
0000000100011	0	1388	431	261	0	978	221	246	14	1267	0	0	4	6	283	4	550	11	0	0	204	574	200	0	400	0	4	0	2	0	0	0	250	805	348	0	0	712	547	0	0	361	339	3	0	121	465	0	0	1	66	0	1647	0	0	0	986	369	5	0	1274	345	0	0	43	0	33	0	0	14	652	0
0000000100100	0	530	898	4	0	557	270	0	1	880	0	0	5	1414	219	258	983	1	2	1	334	614	0	0	1105	566	2	0	0	0	0	0	64	643	482	27	0	801	2065	0	0	1854	727	1	0	2043	0	0	1300	0	33	2	1971	1	1	0	1254	0	0	0	1394	89	0	0	0	0	52	25	7	567	1763	0
0000000100101	0	932	224	25	0	247	116	2	9	1459	315	2	487	902	646	273	460	660	0	2	148	273	2	0	608	142	5	0	1	1	1	1	186	441	152	0	0	147	847	0	0	1380	886	4	0	877	86	1	235	1180	16	1	1218	1	2	0	1216	63	0	0	1102	0	1	0	0	0	1	0	2	205	711	0
0000000100110	7	2118	3167	1081	2	2829	1786	678	15	3950	1431	676	1678	4028	2376	309	5215	1617	585	5	4425	1523	0	0	7017	734	4	0	1	1	163	299	2032	4595	1148	1	0	2102	6879	777	0	5022	3928	501	0	6846	2146	261	3311	745	872	3	7925	259	4	0	11613	586	327	0	7957	180	139	0	1	1	111	2	83	2041	5352	121
0000000100111	1	3378	2236	521	0	1618	393	402	20	1498	1010	411	1055	1975	1646	738	1179	6	2	4	3061	475	3	0	2904	357	2	0	2	0	3	1	585	2280	1023	521	0	1178	3912	73	0	2793	2376	134	0	3096	772	1	2271	1	1046	3	2475	1	3	0	6564	151	799	0	4263	387	0	0	0	0	26	2	134	803	3396	46
0000000101000	0	2082	1561	46	0	231	957	243	30	1210	382	526	10	274	21	18	1929	699	4	3	586	674	1	0	1430	152	4	0	3	0	131	1	0	467	495	0	1	2373	278	1	0	2284	622	8	0	2869	223	2	773	2	15	0	573	303	6	1	2338	656	8	0	2743	0	0	0	2	0	46	0	49	706	1799	65
0000000101001	0	1201	420	413	0	2052	111	169	9	1056	1	0	1	1577	256	6	545	1	321	0	200	1	1	0	1514	194	2	0	0	2	0	0	0	447	101	0	0	1696	1055	0	0	1008	203	2	0	1723	505	2	2139	312	95	2	425	2	0	0	2029	199	8	0	2353	0	267	0	0	0	0	110	0	113	1613	0
0000000101010	2	1327	845	62	1	1095	1219	1	38	2315	63	1	19	743	358	463	1227	223	300	6	900	343	8	0	1853	2	6	0	2	0	0	58	180	1043	226	1	0	1592	1599	2	0	2537	1125	4	7	3321	563	0	2315	1	222	2	2313	1	3	1	1642	229	6	0	1655	2	1	0	0	0	32	0	32	553	1712	104
0000000101011	0	1379	301	82	0	313	96	262	14	173	242	1	241	676	25	8	866	471	0	3	426	508	3	0	1454	1	6	0	0	0	0	1	2	442	233	0	0	1092	2	0	0	1305	233	311	0	1	149	0	0	361	10	2	10	0	0	1	324	2	6	0	1254	0	0	0	0	0	31	0	0	160	373	0
0000000101100	0	2012	189	188	0	2470	630	2	21	1693	516	0	948	2145	1263	17	1044	346	3	6	1332	224	2	0	1862	1104	4	0	4	0	1	1	353	1636	399	171	0	1086	1714	0	0	1206	1412	6	1	2440	540	2	1793	3	134	1	1722	137	5	1	2941	1	1	0	3205	156	0	0	0	0	8	1	128	525	1801	0
0000000101101	2	2203	1052	1196	1	1912	881	643	44	2791	408	313	18	3078	317	958	2392	27	6	8	788	513	593	0	7311	804	13	0	209	0	4	1	673	3675	1056	1	0	2147	3030	347	0	2774	2695	190	1	3596	1334	1	1891	5	421	5	3303	593	4	2	3827	1527	9	0	4515	2	110	0	0	0	61	182	46	1194	3185	0
0000000101110	0	1683	960	381	3	3753	1656	455	31	6756	1481	2	742	4745	1741	703	3187	1734	402	7	2748	1502	329	0	6068	1177	8	0	2	0	4	62	315	2884	1344	0	0	92	4070	429	0	3636	2118	212	0	4445	901	331	2523	772	945	2	2751	214	1	0	4900	613	5	0	5120	450	195	0	0	0	124	112	100	1607	4643	0
0000000101111	0	1312	130	2	0	1025	212	476	0	692	1	1	438	1	139	0	239	4	0	0	365	346	387	0	567	325	1	0	3	0	0	0	161	411	77	0	1	86	1109	2	0	559	652	1	0	564	175	1	0	1	45	0	911	0	1	1	1056	0	2	0	1452	0	422	0	0	0	49	0	0	368	1007	1
0000000110000	2	2175	567	59	0	1418	954	360	35	3040	168	1	21	705	31	30	1647	29	461	4	742	926	2	0	2063	530	9	0	261	0	1	0	306	1055	596	0	0	2839	1217	1	0	1947	600	0	173	1931	683	1	2197	3	732	2	1244	309	4	0	2642	1	2	0	2129	0	197	0	0	278	172	1	149	351	1315	44
0000000110001	0	4659	1788	539	0	5144	1059	243	57	6525	1200	664	789	2859	416	365	1684	1395	669	11	947	1296	4	0	6021	202	574	0	5	0	1116	1	300	3447	1629	1	0	3981	1585	70	0	6259	1417	10	0	5453	1270	170	3677	3	298	1	2823	4	7	0	4839	216	328	0	4998	335	365	0	4	58	160	57	23	1152	3368	0
0000000110010	2	1218	1	498	1	1360	427	0	44	1073	522	0	484	3014	976	24	1552	492	16	5	1846	1590	2	0	1898	630	12	0	4	0	0	2	9	657	516	74	0	2527	2050	143	0	3225	1079	1	43	2759	339	2	2179	1073	86	3	2392	4	4	0	3835	0	1	0	2242	1	190	0	0	0	16	33	2	320	2487	92
0000000110011	0	182	334	9	0	3	2	0	15	217	257	0	1	462	3	5	291	400	2	1	156	181	0	0	898	1	3	0	0	0	0	1	77	651	57	0	0	443	304	0	0	386	0	3	0	740	1	0	1113	0	1	0	562	1	0	0	620	142	0	0	719	1	0	0	0	0	0	46	0	25	411	0
0000000110100	1	415	592	12	0	811	476	0	4	288	0	0	4	537	668	3	2	573	0	0	1037	288	2	0	1218	0	280	0	0	0	0	140	184	769	55	0	0	400	889	173	0	394	368	1	0	1216	0	1	2	1	34	2	94	0	2	0	1209	176	0	0	1239	0	0	0	0	0	26	36	1	270	1067	51
0000000110101	1	363	539	16	0	441	157	1	7	790	348	0	5	633	11	10	356	388	0	2	194	242	0	0	1360	216	0	0	1	0	0	62	82	593	653	0	0	304	959	99	0	276	1306	1	0	243	3	2	13	0	25	0	376	0	0	0	716	0	0	0	1661	1	0	0	0	0	0	1	4	85	1495	0
0000000110110	0	774	294	294	0	983	376	0	1	635	2	0	2	272	324	529	805	276	0	0	1381	221	0	0	968	285	0	0	1	0	1	1	2	459	188	147	0	66	1133	1	0	1935	545	2	0	1417	177	0	805	2	57	0	645	483	2	0	1176	0	1	0	1376	0	0	0	0	0	0	1	2	474	1273	46
0000000110111	1	666	413	10	0	465	4	0	3	2	44	3	1	788	768	206	399	593	0	1	193	188	0	0	974	371	0	0	0	0	0	2	36	963	915	1	0	813	1555	0	0	1143	625	0	0	1165	643	0	794	1	25	0	991	0	0	0	1361	339	326	0	1762	236	0	0	0	0	0	0	46	265	1079	46
0000000111000	0	4200	769	77	0	3234	297	6	492	2536	310	7	21	1623	840	476	2761	734	388	10	2484	172	0	0	4610	642	11	0	6	4	0	99	344	2391	380	1	0	4317	1154	0	0	5925	340	9	1	4145	1377	329	3707	367	166	0	5745	3	5	0	4742	0	235	0	4047	3	0	0	1	0	27	0	70	1215	2601	26
0000000111001	1	2669	811	85	0	2144	1077	1	44	2661	283	3	822	1622	242	37	1698	570	5	5	801	1010	360	0	3433	169	7	0	213	0	2	0	531	1839	478	0	0	2839	1148	2	0	2228	738	5	0	1757	349	3	2734	2	482	1	1377	3	6	0	3109	1	5	0	2405	403	325	0	0	0	26	1	68	684	2721	0
0000000111010	0	577	98	22	0	844	323	362	29	2718	513	0	6	1008	1359	347	864	563	275	5	323	592	320	0	1179	199	1	0	0	0	0	1	1	919	567	0	0	1956	1076	2	0	2924	810	6	0	1746	424	3	794	2	371	1	2303	1	4	0	1315	0	7	0	1931	0	0	0	0	1	24	2	1	273	1376	92
0000000111011	2	3096	1803	230	1	1316	1076	854	72	2104	1662	2	595	2384	1574	504	1961	24	262	17	3041	1030	3	0	3299	767	5	0	127	0	0	105	478	4085	1148	439	0	3528	2487	1	4	3417	843	530	0	4393	425	3	6135	795	680	1	1773	2	7	0	6582	739	8	0	3897	323	1	0	0	30	157	59	79	738	3222	0
0000000111100	0	3047	939	582	0	3155	803	4	485	3160	1043	2	894	1885	1560	13	2157	1278	323	11	1588	2080	8	0	4319	242	7	0	3	0	75	0	1420	2442	2352	0	0	3667	2489	170	1	3511	1503	9	0	3886	942	10	1134	2	156	0	4973	1170	8	2	4178	53	494	0	4589	56	1	0	0	0	103	160	220	1241	3272	127
0000000111101	0	2334	575	23	0	714	838	338	9	1220	559	1	6	1012	193	462	982	742	175	2	217	405	1	0	1139	52	690	0	148	0	0	0	32	1456	0	1	0	750	1281	0	0	516	112	5	1	381	547	288	1713	280	35	0	671	1	4	0	1115	104	1	0	1417	361	0	0	0	0	15	1	64	420	1163	41
0000000111110	0	0	0	3	0	337	1	156	4	697	0	0	3	0	59	106	338	3	0	1	0	448	0	0	462	0	1	0	83	0	0	0	0	638	47	0	0	1	0	0	0	0	432	0	0	216	0	0	705	0	14	1	1	0	0	0	1139	733	4	0	264	0	0	0	0	0	25	0	0	20	153	0
0000000111111	0	2096	1059	25	0	710	242	1	16	1419	339	8	796	1058	413	164	1588	3	3	3	1691	154	3	0	2425	122	379	0	1	0	1	0	6	3005	404	0	0	631	1124	122	0	2068	813	91	62	2707	356	645	824	753	45	0	2595	2	4	0	2143	0	302	0	2503	2	1	0	0	0	23	2	1	479	1789	0
0000001000000	4	3170	7429	1434	5	6831	4011	746	833	6441	5766	809	790	4850	4836	826	7206	1163	554	20	6741	2994	162	0	9212	1123	38	0	168	0	7	469	1586	8085	2140	4	2	1289	11626	1352	0	4867	9918	327	0	7778	6546	1032	9105	3706	1550	5	13509	278	7	0	19055	1678	538	0	15346	1077	2	0	0	0	293	157	121	3466	10794	260
0000001000001	0	0	133	284	0	814	128	101	19	557	508	1	4	299	888	180	690	521	0	4	41	0	1	0	1118	223	1	0	2	2	1	0	125	530	95	0	0	1	713	1	0	239	660	3	0	456	113	0	0	2	46	1	39	0	1	0	838	0	1	0	1088	1	0	0	0	0	29	1	0	84	1020	43
0000001000010	2	894	810	217	1	59	679	254	2	1843	2144	2	1	6	428	453	1	1	0	0	1103	339	407	0	1411	522	0	0	0	0	1	2	153	1068	722	0	0	98	2232	258	0	198	1971	4	0	1239	1702	436	2004	0	177	1	1745	2	2	0	4353	416	1	0	1987	0	0	0	0	0	6	0	2	419	1534	1
0000001000011	1	875	1005	222	1	785	1322	376	10	2668	993	159	9	357	316	259	1517	1021	121	3	909	984	1	0	1615	2	4	0	0	1	0	0	446	1060	408	2	0	190	1486	256	0	2	1378	163	0	257	710	1	1	727	168	0	2173	219	2	0	2799	1	0	0	3537	0	0	0	0	0	0	1	2	620	1263	37
0000001000100	0	458	4162	2000	1	400	1862	208	2	1064	53	1093	3	1171	3090	2	2193	423	716	0	547	192	354	0	3329	304	4	0	0	0	0	1	392	1564	1174	0	0	113	3679	559	1	902	4523	540	0	1470	2275	16	2582	2346	511	2	1679	270	0	0	2049	589	645	0	4089	3	0	0	2	0	0	1	1	431	3187	37
0000001000101	0	431	745	2128	1	967	1333	798	6	552	2285	339	5	1682	1350	253	2294	1021	295	1	1653	922	0	0	2090	343	5	0	0	1	91	124	279	1673	1061	0	1	104	2139	1687	0	475	2853	304	0	674	1879	1	850	4002	55	2	1015	0	0	0	3813	124	1	0	4024	1	0	0	0	0	60	0	15	436	2474	0
0000001000110	0	131	1302	2169	0	66	1451	186	2	741	764	347	241	338	1907	348	1470	457	400	0	1073	1136	1	0	2535	511	0	0	114	129	1	0	106	1128	645	0	0	1	2932	509	0	0	2700	778	0	288	973	320	1	2145	551	109	2377	1	0	0	2071	1	3	0	3024	1	164	0	0	0	17	0	183	613	2168	1
0000001000111	1	197	844	1681	0	1	777	170	4	3	1729	2	13	1535	542	13	1205	7	63	3	355	189	939	0	3195	900	6	0	0	1	0	0	0	758	703	1	1	185	2142	1395	0	49	1944	470	0	1	1421	177	2	1763	669	4	1576	373	1	0	2672	1	2	0	5269	188	345	0	1	0	25	0	45	514	3227	37
0000001001000	1	1044	2918	477	0	730	461	5	24	1809	591	0	425	1772	1369	17	318	34	423	6	930	1397	7	0	1716	37	6	0	4	0	0	1	126	1526	513	1	0	153	1884	351	0	1077	1633	0	0	2140	778	2	2423	328	46	2	1729	475	2	0	2519	0	4	0	2758	1	0	0	0	0	138	0	233	791	1889	0
0000001001001	0	1283	647	280	0	767	718	184	13	686	293	1	7	307	422	266	1112	832	0	1	488	280	0	0	2023	0	7	0	1	190	0	123	550	1329	461	0	0	852	2475	82	0	789	594	11	0	327	201	1	1602	0	41	1	374	1	0	1	2521	305	6	0	2502	91	298	0	0	0	69	0	30	628	847	119
